iteration,curr policy return,max return,median return,min return,avg return,std return,avg rollout len,num total samples,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
69,1209.2242,1318.9943,1103.3686,18.782,850.9805,436.5962,721.9406,3349905,0.04472225159406662,-5.936978816986084,0.46560001373291016,0.48890000581741333,0.5070000290870667,-34.36970138549805
70,1320.3287,1336.7671,228.9912,61.2749,493.8476,460.1976,393.5941,3389658,0.012452840805053711,-6.02490234375,0.4645000100135803,0.4887000024318695,0.506600022315979,-34.393001556396484
71,1199.2195,1295.4862,1064.7317,43.6491,795.2031,445.6068,685.2772,3458871,0.038789354264736176,-6.147733211517334,0.4641000032424927,0.4885999858379364,0.5066999793052673,-34.398799896240234
72,1331.622,1331.622,351.1804,54.872,616.9844,499.563,502.4851,3509622,-0.08676351606845856,-6.356655597686768,0.4641000032424927,0.48840001225471497,0.5062999725341797,-34.42639923095703
73,1255.9742,1334.8022,1079.2323,19.6241,769.0177,485.9595,631.3663,3573390,-0.04783080518245697,-6.457766056060791,0.4634999930858612,0.48809999227523804,0.5066999793052673,-34.45220184326172
74,1289.1797,1330.5743,595.8141,59.8384,676.9805,502.9484,552.8713,3629230,0.07963936030864716,-6.49725341796875,0.46299999952316284,0.4878999888896942,0.5052000284194946,-34.479801177978516
75,434.0727,1346.4004,319.0499,52.1323,580.7175,498.9781,465.5347,3676249,0.07425692677497864,-6.618643760681152,0.4627000093460083,0.4875999987125397,0.504800021648407,-34.50360107421875
76,1235.0289,1304.2108,1112.6869,63.6632,818.5773,448.1057,691.2178,3746062,0.030397038906812668,-6.6509246826171875,0.4625999927520752,0.48750001192092896,0.5055999755859375,-34.51599884033203
77,1297.6582,1326.3919,895.375,33.7755,718.6369,484.1325,589.9109,3805643,0.05531710758805275,-6.664687633514404,0.461899995803833,0.48730000853538513,0.5052000284194946,-34.53409957885742
78,1284.7955,1299.2834,1098.9944,61.8443,738.4055,492.6906,617.9802,3868059,-0.009988188743591309,-6.651086807250977,0.4611000120639801,0.4871000051498413,0.5044000148773193,-34.562599182128906
79,1269.6549,1350.1018,1039.6127,68.2416,717.718,489.355,597.6931,3928426,-0.07619932293891907,-6.569774150848389,0.45989999175071716,0.4869000017642975,0.5041000247001648,-34.576698303222656
80,1266.2545,1330.0225,1104.0217,26.4287,749.828,486.723,622.4554,3991294,-0.0017351806163787842,-6.62291955947876,0.45890000462532043,0.48669999837875366,0.5038999915122986,-34.60490036010742
81,1283.2996,1319.4932,422.3512,10.5497,639.9136,499.8924,523.6139,4044179,0.028228595852851868,-6.623103141784668,0.4578999876976013,0.4864000082015991,0.5044999718666077,-34.626800537109375
82,1230.4988,1327.2122,1120.7694,40.2211,801.9044,475.6282,662.4356,4111085,-0.0017013158649206161,-6.751392364501953,0.4571000039577484,0.486299991607666,0.5041000247001648,-34.64609909057617
83,1322.4966,1353.8961,714.4011,39.1724,691.0691,522.9402,553.0198,4166940,0.13884924352169037,-6.804549217224121,0.45570001006126404,0.4860000014305115,0.5040000081062317,-34.67290115356445
84,1259.9615,1370.3813,1112.6462,31.9874,777.0202,470.399,646.1386,4232200,-0.0034262388944625854,-6.7643632888793945,0.45570001006126404,0.4860000014305115,0.5051000118255615,-34.675899505615234
85,1271.7916,1329.2841,814.2103,48.4098,700.7238,501.3509,570.4851,4289819,-0.2033834606409073,-6.83860445022583,0.4542999863624573,0.48579999804496765,0.5047000050544739,-34.695499420166016
86,1240.6345,1266.5467,1100.3718,12.6539,775.029,458.6217,646.0396,4355069,-0.11025623232126236,-6.874452590942383,0.45350000262260437,0.4855000078678131,0.5048999786376953,-34.72909927368164
87,1276.4388,1343.4521,1086.7378,14.9137,753.4109,500.4038,616.6733,4417353,-0.0029694736003875732,-6.815068244934082,0.4521999955177307,0.4853000044822693,0.5047000050544739,-34.75019836425781
88,1322.8973,1356.6983,448.6324,13.7663,653.5544,499.8044,529.2475,4470807,-0.015017504803836346,-6.640129566192627,0.45159998536109924,0.48500001430511475,0.5047000050544739,-34.78160095214844
89,1241.5942,1362.3808,1132.9494,11.1848,865.7993,452.1136,719.3564,4543462,-0.023364491760730743,-6.708118438720703,0.4507000148296356,0.4846999943256378,0.5038999915122986,-34.81100082397461
90,813.1585,1352.7185,218.6324,67.1746,521.3156,491.2613,412.9307,4585168,0.007831074297428131,-6.834627151489258,0.4505999982357025,0.4846000075340271,0.5054000020027161,-34.8213996887207
91,1251.087,1333.7138,1060.4213,57.2596,730.8322,488.7414,594.4257,4645205,-0.12534856796264648,-6.806065559387207,0.44920000433921814,0.4844000041484833,0.505299985408783,-34.83919906616211
92,1274.8658,1487.2861,1101.3184,36.5514,787.8733,483.9531,657.7723,4711640,-0.0843338668346405,-6.895508289337158,0.4490000009536743,0.48429998755455017,0.5054000020027161,-34.85129928588867
93,1337.0636,1353.4395,1038.7234,30.8921,723.2084,516.5653,591.7921,4771411,0.046779319643974304,-6.729131698608398,0.44769999384880066,0.48410001397132874,0.5042999982833862,-34.87620162963867
94,1297.5166,1315.2403,913.1059,73.9964,731.6493,485.799,598.1188,4831821,0.008460912853479385,-6.657845497131348,0.44690001010894775,0.4837999939918518,0.5038999915122986,-34.9025993347168
95,1285.2772,1347.3199,1125.1155,52.8718,819.8657,475.08,677.0693,4900205,0.056348174810409546,-6.492869853973389,0.4458000063896179,0.48350000381469727,0.5037000179290771,-34.93339920043945
96,1342.4209,1343.9654,1036.1906,60.9638,702.1872,510.7252,575.6634,4958347,-0.039168715476989746,-6.499073505401611,0.44510000944137573,0.48339998722076416,0.5034000277519226,-34.94459915161133
97,1295.0804,1386.4522,1108.8158,58.9763,793.7666,479.3937,654.8416,5024486,0.07290703803300858,-6.423271179199219,0.4440000057220459,0.48330000042915344,0.5034999847412109,-34.95909881591797
98,1350.8301,1364.4652,511.797,65.0384,696.921,477.75,564.9703,5081548,-0.11564341932535172,-6.267120838165283,0.44449999928474426,0.4832000136375427,0.5031999945640564,-34.974098205566406
99,1301.4866,1542.7784,1131.3745,52.9771,858.0531,482.8666,709.2574,5153183,0.03485133498907089,-6.548032283782959,0.44350001215934753,0.4830000102519989,0.503600001335144,-34.997501373291016
100,1337.9969,1381.3803,505.8252,51.2095,688.6925,516.4037,547.4257,5208473,-0.01917293667793274,-6.6346049308776855,0.44290000200271606,0.4828000068664551,0.5037999749183655,-35.01729965209961
